content,description,title
HALIFAX Dalhousie University in Halifax has been connected to a presumptive positive case of COVID19Deep Saini president and vicechancellor of Dalhousie University informed the Dalhousie community of the presumptive positive case in a campuswide 2015 chars,"Presumptive COVID-19 case connected to Dalhousie University CTV News N.S. bans evictions while committing funds to Feed Nova Scotia, income assistance Global News One person in N.S. hospitalized as a result of COVID-19 CTV News N.S. boosts funding for food ba…",Presumptive COVID19 case connected to Dalhousie University CTV News
Sylvain Charlebois of the School of Public Administration at Dalhousie University speaks with the Financial Posts Larysa Harapyn about why were seeing empty shelves in stores amid the COVID19 pandemic the state of our food supply chain and how all this 26 chars,Sylvain Charlebois of Dalhousie University speaks about the state of our food supply chain and how the pandemic will effect food prices,Theres no need to hoard food but falling loonie will raise your grocery bill
Global academic science and tech startup accelerator program Creative Destruction Lab CDL is adding a dedicated stream to its existing areas of focus which include AI health sciences space quantum computing blockchain energy and oceans The new addit 2394 chars,"Global academic science and tech startup accelerator program Creative Destruction Lab (CDL) is adding a dedicated stream to its existing areas of focus, which include AI, health sciences, space, quantum computing, blockchain, energy, and oceans. The new addit…",Creative Destruction Lab launches a new startup program dedicated to COVID19 response
WINNIPEG ManitobaOTTAWA Reuters After failing to grow wheat in Canadas subarctic Yukon territory 15 years ago farmer Steve MackenzieGrieve gave it another shot in 2017 Thanks to longer summers he has reaped three straight harvests This spring he 4741 chars,"After failing to grow wheat in Canada's subarctic Yukon territory 15 years ago, farmer Steve Mackenzie-Grieve gave it another shot in 2017.",Wheat in Whitehorse how climate change helps feed Canadas remote regions
Food prices are likely to rise while restaurant prices go down amid COVID19 and a sinking Canadian dollar according to a new forecast by the University of Guelph and Dalhousie University The universities put out a forecast for food prices every December 3133 chars,"Experts say food costs are under a lot of pressure, but that low oil prices are helping mitigate that pressure so far.",Food prices set to rise amid COVID19 crisis
David Dunne director of MBA Programs at the University of Victorias Gustavson School of Business speaks to students in a classroom on campusUniversity of Victoria photo servicesUntil recently Canadian business schools typically covered climate change 11260 chars,More business schools are embedding sustainability themes into courses and research,Sustainability goes mainstream for business education The Globe and Mail
Big KaboomStars with a certain deadly elemental cocktail in their cores could be doomed to suffer an early demiseIf a star forms enough neon a rare and poorlyunderstood chemical reaction can trigger a starkilling thermonuclear blast Gizmodo reports 1274 chars,"Stars with a certain elemental cocktail in their cores could be doomed to suffer an early demise. If a star forms enough neon, a rare, poorly-understood chemical reaction can trigger a gigantic, star-killing thermonuclear blast, Gizmodo reports. The unusual p…",Poison in the Hearts of Stars Can Make Them Explode
TORONTO Technology companies operating in Canada and specializing in remote work say theyre bracing for a spike in inquiries sales and users amid an outbreak of a novel coronavirusThey say their phones have been ringing constantly sales teams are busy he 4320 chars,"TORONTO — Technology companies operating in Canada and specializing in remote work say they’re bracing for a spike in inquiries, sales and users amid an outbreak of a novel coronavirus. They say their phones have been ringing constantly, sales teams are busy …",Remote work tech companies prepare for surge in customers amid COVID19 outbreak CityNews Vancouver
OTTAWATwelve weeks maybe more Maybe a lot more That is the public estimate for how long Canadians will live with COVID19 and the slew of restrictions in place to protect against the virus But what if there is a way to loosen those restrictions for s 4301 chars,Experts say it’s worth considering but still too early to say whether people can’t get infected twice or how long immunity lasts.,Should Canada give out immunity passports for people who have beaten COVID19
In many ways the new coronavirus has wreaked havoc on the lives of college students faculty and staff members Many institutions have moved classes online and encouraged students to leave campus creating a flurry of confusion uncertainty and anxietyMor 6328 chars,"In many ways, the new coronavirus has wreaked havoc on the lives of college students, faculty and staff members. Many institutions have moved classes online and encouraged students to leave campus, creating a flurry of confusion, uncertainty and anxiety. More…",Colleges go passfail to address coronavirus
These are unprecedented times As we deal with the current coronavirus pandemic we find our regular routines and habits altered and disrupted Notsograceful displays ofpanic buyinghave been seen almost everywhere People have been impulsively emptying sh 3122 chars,"Sylvain Charlebois Politics, Americas It seems so. These are unprecedented times. As we deal with the current coronavirus pandemic, we find our regular routines and habits altered and disrupted. Not-so-graceful displays of panic buying have been seen almost e…",Will Coronavirus Make Everyone Cook Again
Dena Zeraatkar MSc Gordon H Guyatt MD MSc Pablo AlonsoCoello MD PhD Malgorzata M Bala PhD Montserrat Rabassa PhD Mi Ah Han MD PhD Robin WM Vernooij PhD Claudia Valli MSc Bradley C Johnston PhD McMaster University Hamilton Ontario 717 chars,NAN,Red and Processed Meat Consumption and Risk for AllCause Mortality and Cardiometabolic Outcomes
A national modelling paper predicting the number of available ICU beds across Canada during the COVID19 pandemic suggests that selfisolation will likely not be enough to keep demand from exceeding supply It is published in CMAJ Canadian Medical Associatio 2313 chars,A national modelling paper predicting the number of available ICU beds across Canada during the COVID-19 pandemic suggests that self-isolation will likely not be enough to keep demand from exceeding supply. It is published in CMAJ (Canadian Medical Associatio…,COVID19 critical care bed modelling study potential shortage in Canada
WASHINGTON AP Older people remain most at risk of dying as the new coronavirus continues its rampage around the globe but theyre far from the only ones vulnerable One of many mysteries Men seem to be faring worse than womenAnd as cases skyrocket in th 6013 chars,Age is not the only risk for severe coronavirus disease WJW FOX 8 News Cleveland Anosmia: The 'hidden' coronavirus symptom many young patients are developing Daily Star Smell test: Possible new COVID-19 symptom emerges SCNow Loss of smell may be symptom of ne…,Age is not the only risk for severe coronavirus disease WJW FOX 8 News Cleveland
BOSTONBUSINESS WIRERacepoint Global RPG an independent communications agency specializing in driving conversations that matter for innovative brands today announced the appointment of Bob Osmond as agency president In this role Osmond will drive t 2441 chars,"BOSTON--(BUSINESS WIRE)--Racepoint Global (RPG), an independent communications agency specializing in driving conversations that matter for innovative brands, today announced the appointment of Bob Osmond as agency president. In this role, Osmond will drive t…",Racepoint Global Appoints Bob Osmond as President Expanding Agency Leadership
NAN,"Bill C-13, the COVID-19 Emergency Response Act, was the Canadian government’s legislative response to the Coronavirus pandemic. In addition a host of economic measures, the bill included some unexpected patent law provisions designed to speed access to essent…",The LawBytes Podcast Episode 46 Matthew Herder on the Canadian Effort to Break Down Patent Barriers to Accessing Coronavirus Medicines
Three researchers at Dalhousie University in Halifax have been awarded a total of 19 million to help research the coronavirus and its wider societal impactsThe research areas include developing a device to gauge the severity of the illness examining the 4000 chars,Three researchers at Dalhousie University are getting federal funding to research different aspects of the novel coronavirus.,Dalhousie researchers get 19M to study coronavirus
Schools are still in session News that COVID19 has reached pandemic status has businesses and institutions taking precautionary measures and shutting down altogether Canadian universities are staying on top of the situation with one Ontario school suspendi 2519 chars,"Major Canadian Universities Are Still Open & Sharing Their Responses To COVID-19 Narcity How to self-isolate during the coronavirus crisis CBC.ca Yes, you should have a coronavirus emergency kit. Here’s what to include Global News COVID-19 pandemic means it's…",Major Canadian Universities Are Still Open Sharing Their Responses To COVID19 Narcity
Selfisolating may mean many Canadians will be forced to spend more time in the kitchen a place thats been foreign to most millennials according to a new survey Shutterstock These are unprecedented times As we deal with the current coronavirus pandemic 3480 chars,"One positive thing coming out of pandemic-related self-isolation could be that people will spend more time in their kitchens, a place where fewer Canadians have ventured in recent years.",Making and breaking bread during the coronavirus pandemic Home cooking could make a comeback
Due to the coronavirus outbreak many universities are moving activities online This is a great opportunity to open up ACT2020 to a broader audience with speakers from around the world The conference will take place July 610 online coordinated by organiz 4386 chars,"The conference Applied Category Theory 2020 will take place July 6-10 --- online, worldwide!",Applied Category Theory 2020 Part 2
Some stars have the element neon to thank for their ultimate explosive demise according to astrophysical researchAstronomers love studying the life cycles of stars including which stars die in which ways Lessmassive stars like our Sun expand and she 4583 chars,"Some stars have the element neon to thank for their ultimate, explosive demise, according to astrophysical research. More »",How Neon Can Make A Star Destroy Itself
While the coronavirus pandemic has prompted a shutdown of nonessential travel at the CanadaUS border a number of provinces have also set up checkpoints at their borders to restrict traffic raising questions about the constitutionality of such measures 7751 chars,"While the coronavirus pandemic has prompted a shutdown of non-essential travel at the Canada-U.S. border, many provinces have also set up checkpoints at their borders to restrict traffic, raising questions about the constitutionality of such measures.",Provincial border checkpoints barring entry restricting travel raise constitutional questions
1 Adding a measure of patient frailty to Medicare payment model could lead to fairer reimbursement for cliniciansAbstract orgaimarticledoi107326M193261Editorial orgaimarticledoi107326M2 5791 chars,"Researchers identified a way to measure frailty using patients' medical claims that more accurately predicts costs-of-care, especially for clinicians with disproportionate shares of frail patients. Adding this measure to Medicare's value-based payment models …",Adding a measure of patient frailty to Medicare payment model could lead to fairer reimbursement for clinicians
Inperson classes at Dalhousie University and the University of Kings College will be suspended from March 1620 amid COVID19 concernsOn its website Dalhousie said the suspension is a preventative measure to increase social distancing and allow instruc 1398 chars,"On Friday, the university announced in-person classes and labs for Dalhousie University and the University of King's College students will be suspended from March 16-20 as a COVID-19 preventative measure.",Inperson classes at Dal Kings suspended next week
Older people remain most at risk of dying from the new coronavirus disease COVID19 The majority of people who get COVID19 have minor or moderate sickness But majority does not mean all So who else should be concerned about contracting severe even dead 5405 chars,"Older people remain most at risk of dying from the new coronavirus disease, COVID-19. The majority of people who get COVID-19 have minor or moderate sickness. But “majority” does not mean “all.” So, who else should be concerned about contracting severe, even …",Age Is Not the Only Risk for Severe Coronavirus Disease
The mechanical engineering department at Dalhousie University has developed aface shield for healthcare workers on the front linesof the COVID19 pandemicWorking in conjunction with the Nova Scotia Health Authority and the Nova Scotia College of Art and 1640 chars,The mechanical engineering department at Dalhousie University has developed a face shield for health-care workers on the front lines of the COVID-19 pandemic.,Dalhousie team uses 3D printing to build prototype for face shield
The Carleton Ravens are once again the Canadian university mens basketball championsThe No 1 Ravens defeated the No 2 Dalhousie Tigers 7465 in Ottawa on Sunday night to win their second straight U Sports mens national titleCarleton has won nine of 493 chars,The Carleton Ravens are once again the Canadian university men's basketball champions.,Carleton claims 15th U Sports mens basketball title with victory over Dalhousie
The University of Alberta Pandas defeated the UNB Reds 102 in the U Sports womens curling final on Sunday claiming their fourth national championship in six yearsThe Pandas downed the McMaster Maurauders84 in the morning semifinal while the Reds secu 842 chars,"The University of Alberta Pandas defeated the UNB Reds 10-2 in the U Sports women's curling final on Sunday, while the Laurier Golden Hawks topped the Dalhousie Tigers 8-5 for the men's curling title.",Alberta Pandas defeat UNB Reds to claim U Sports womens curling national championship
One of two people rescued from a burning apartmentnear the University of Manitoba is in critical condition and some of the buildings residentsare left without homesShortly after630pm on Wednesday the Winnipeg Fire Paramedic Service was called to 688 chars,Winnipeg Fire Paramedic Service rescued two people from an apartment fire on Dalhousie Drive on Wednesday evening.,1 of 2 rescued from apartment fire in critical condition others homeless
A Dalhousie University researcher at the forefront of Canadas quest to find a treatment for COVID19 says human trials for a promising new vaccine could be only weeks awayDalhousies COVID19 rapid response team is moving forward with testing a vaccine th 3183 chars,A virologist at Dalhousie University who's at the forefront of Canada’s quest to find a treatment for COVID-19 says human trials for a promising new vaccine could be only weeks away.,Dalhousie research team prepares for clinical trial of COVID19 vaccine
If theres a watershed moment in the history of laboratory safety research it may be the 2009 death of Sheharbano Sheri Sangji a 23yearold research assistant who died from injuries sustained in a University of California Los Angeles chemistry laboratory 8672 chars,"Researchers aim to supply evidence to save lives, persevering through lack of recognition and funding",Wanted Data to make labs safer
Apr 4th 2020FLORENCE AND MEXICO CITYWHEN THE number of patients mounts but the number of healers does not whom do you call That was the question for Giulio Gallera the health minister in Lombardy the Italian region worst hit by covid19 The army was 4193 chars,The communist island’s practice of exporting medical workers has a dark side,Cubas doctors are in high demand
Lets face itthere is no escaping hearing about the novel coronavirus at the moment Whether youre watching the news on television reading an article online or speaking to family members over the phone everyone is talking about itBut to help distract y 4699 chars,"Thankfully, it's not all doom and gloom at the moment.",Google Searches for Good News at AllTimeHigh in USHere Are 5 Uplifting Stories You Might Have Missed
March 11 2020For Immediate ReleaseMembers elect Janet Davidson Board Chair and Peter MacKinnon ViceChairOttawa ON March 11 2020 Canada will lead the world in establishing a way to help academic researchers access manage and protect vast amounts o 4889 chars,"Canadian Journal of Education, Mar 12, 2020 The organization was established to create ""a way to help academic researchers access, manage and protect vast amounts of research data."" It is a membership-based organization, ""with founding members comprising more…",Canadas New National Digital Research Infrastructure Organization Launches Names Inaugural Board
Fruit and vegetable growers say sweeping new travel restrictions are cutting off the flow of seasonal labour to Canadian farms threatening to disrupt harvests as Ottawa bars foreign travellers in an attempt to contain the rapid spread of the coronavirusPr 4960 chars,"From seeding through to harvesting, farmers need the help of 60,000 workers",Broccoli has to be hand cut Travel limits squeezing flow of seasonal workers to fruit vegetable farms
Hoarding as moral aberration and ethical breach the term has recently become the subject of scorn in coronavirus chatter In terms of mental disorders it is characterized by persistent difficulty discarding or parting with possessions though the Coronavir 6781 chars,"Hoarding as moral aberration and ethical breach: the term has recently become the subject of scorn in coronavirus chatter. In terms of mental disorders, it is “characterized by persistent difficulty discarding or parting with possessions”, though the Coronavi…",Moralising Hoarding Panic Buying and Coronavirus
WASHINGTON AP Older people remain most at risk of dying as the new coronavirus continues its rampage around the globe but theyre far from the only ones vulnerable One of many mysteries Men seem to be faring worse than womenAnd as cases skyrocket in th 6123 chars,"Older people remain most at risk of dying as the new coronavirus continues its rampage around the globe, but they’re far from the only ones vulnerable.",Age is not the only risk for severe coronavirus disease WKRN News 2
Food and consumer goods manufacturers reported a surge in demand in the last two weeks of March as homebound Canadians rushed to grocery stores to stock up for an indefinite period of selfisolation to combat the spread of COVID19Eighty per cent of manuf 3198 chars,"Despite the rush, vast majority of companies confident in their ability to manage logistics, freight and supply",Demand for some food and consumer goods surges 500 as Canadians stock up
Older people remain most at risk of dying as the new coronavirus continues its rampage around the globe but theyre far from the only ones vulnerable One of many mysteries Men seem to be faring worse than womenAnd as cases skyrocket in the US and Europ 6419 chars,"Preexisting health problems also can increase risk of infection, such as people who have weak immune systems including from cancer treatment. The post Coronavirus Outbreak: Older people are at risk of dying but they are not the only ones that are vulnerable a…",Coronavirus Outbreak Older people are at risk of dying but they are not the only ones that are vulnerable
WASHINGTON AP Older people remain most at risk of dying as the new coronavirus continues its rampage around the globe but theyre far from the only ones vulnerable One of many mysteries Men seem to be faring worse than womenAnd as cases skyrocket in th 6356 chars,"Older people remain most at risk of dying as the new coronavirus continues its rampage around the globe, but they’re far from the only ones vulnerable.",Age is not the only risk for severe coronavirus disease KWTX
WASHINGTON Older people remain most at risk of dying as the new coronavirus continues its rampage around the globe but theyre far from the only ones vulnerable One of many mysteries Men seem to be faring worse than womenAnd as cases skyrocket in the U 5997 chars,"Senior citizens undoubtedly are the hardest hit by Covid-19.While death rates fluctuate wildly early in an outbreak, Italy has reported more than 80% of deaths so far were among those 70 or older",Age is not the only risk for severe coronavirus disease Livemint
Older people remain most at risk of dying as the new coronavirus continues its rampage around the globe but theyre far from the only ones vulnerable One of many mysteries Men seem to be faring worse than womenAnd as cases skyrocket in the USand Europe 5908 chars,"Age is not the only risk for severe coronavirus disease Deccan Herald Loss of Smell, Taste Early Symptoms of Coronavirus, Reveals Latest Study News18 Loss of smell, taste early symptom of COVID-19, says report The Financial Express Have coronavirus and can’t …",Age is not the only risk for severe coronavirus disease Deccan Herald
WASHINGTON AP Older people remain most at risk of dying as the new coronavirus continues its rampage around the globe but theyre far from the only ones vulnerable One of many mysteries Men seem to be faring worse than womenAnd as cases skyrocket in th 6074 chars,It's not just age: Epidemiologists trying to unravel COVID-19 find underlying issues and gender play a large role in whether the virus is mild or deadly,Coronavirus hits elderly hardest but risks abound for others too
Thinly traded micro cap IMV NASDAQIMV is up53premarket on light volume in response to its announced plan to develop a COVID19 vaccine based on its lipidbased delivery platform called DPXIt will collaborate with Joanne Langley MD andScott Halper 449 chars,"<ul><li>Thinly traded micro cap IMV (NASDAQ:<a href='https://seekingalpha.com/symbol/IMV' title='IMV Inc.'>IMV</a>) is up <font color=""green"">53%</font> premarket on light volume in response to its <a href=""https://seekingalpha.com/pr/17812181-imv-inc-launche…",IMV up 53 premarket on coronavirus vaccine plan
Physical distancing selfisolating and proper hygiene three key rules of living in Nova Scotia during the COVID19 pandemicBut what if a person doesnt have the resources to follow those public health rulesIt puts the person at risk for contracting and 3302 chars,"Physical distancing, self-isolating and proper hygiene — three key rules of living in Nova Scotia during the COVID-19 pandemic.But what if a person doesn't have the resources to follow those public health rules?It puts the person at risk for contracting and s…",Without resources Nova Scotias homeless are more at risk for COVID19
In response to the global health emergency caused by COVID19 weve seen an array of organizations publications and governments make COVID19 related research open access For example the US National Library of Medicine recently released the COVID19 Ope 5740 chars,"In response to the global health emergency caused by COVID-19, we’ve seen an array of organizations, publications, and governments make COVID-19 related research open access. For example, the U.S. National Library of Medicine recently released the COVID-19 Op…",Dr Lucie Guibault on What Scientists Should Know About Open Access
Politics Insider for March 31 Were tracking layoffs across Canada and offering advice to those who lose their jobs Also the PM announces who qualifies for a federal wage subsidyWelcome to a sneak peek of theMacleansPolitics InsidernewsletterSign up 3756 chars,"Politics Insider for March 31: We're tracking layoffs across Canada, and offering advice to those who lose their jobs. Also, the PM announces who qualifies for a federal wage subsidy. The post Coronavirus layoffs have only started. Prepare yourself for the wo…",Coronavirus layoffs have only started Prepare yourself for the worst
HALIFAXFor a Halifax father and daughter dedicated to taking on global infectious diseases the novel coronavirus has led to their latest exhausting push to create tests and vaccines to save livesAlyson Kelvin 39 and David Kelvin 65 are once again in 5558 chars,"Alyson Kelvin and David Kelvin are once again in the trenches of a race to find long-term solutions, hoping for success while public interest and funding remain in place.",Rapid response COVID19 science conducted by Halifax father and daughter virologists
WASHINGTON AP Older people remain most at risk of dying as the new coronavirus continues its rampage around the globe but theyre far from the only ones vulnerable One of many mysteries Men seem to be faring worse than womenAnd as cases skyrocket in th 6356 chars,"Older people remain most at risk of dying as the new coronavirus continues its rampage around the globe, but they’re far from the only ones vulnerable.",Age is not the only risk for severe coronavirus disease KKTV 11 News
After failing to grow wheat in Canadas subarctic Yukon territory 15 years agofarmerSteve MackenzieGrieve gave it another shot in 2017Thanks to longer summers he has reaped three straight harvests This spring he plans to sow canola on his familys 45 4975 chars,"After failing to grow wheat in Canada's subarctic Yukon territory 15 years ago, farmer Steve Mackenzie-Grieve gave it another shot in 2017.",Wheat in Whitehorse how climate change helps feed Canadas remote regions
DARTMOUTH Nova ScotiaBUSINESS WIREIMV Inc Nasdaq IMV TSX IMV a clinicalstage biopharmaceutical company the Company or IMV today announced that it is advancing the clinical development of a DPXbased vaccine candidate against COVID19 Vaccin 9189 chars,"DARTMOUTH, Nova Scotia--(BUSINESS WIRE)--IMV Inc. (Nasdaq: IMV; TSX: IMV), a clinical-stage biopharmaceutical company (the “Company” or “IMV”), today announced that it is advancing the clinical development of a DPX-based vaccine candidate against COVID-19. Va…",IMV Inc Launches Plans to Advance Clinical Development of a Vaccine Candidate Against COVID19
More mature folks continue to be most at possibility of dying as the new coronavirus carries on its rampage all over the world but theyre much from the only ones susceptible 1 of several mysteries Males seem to be faring even worse than galsAnd as condi 7066 chars,"More mature folks continue to be most at possibility of dying as the new coronavirus carries on its rampage all over the world, but they’re much from the only ones susceptible. 1 of several mysteries: Males seem to be faring even worse than gals. And as condi…",Age Is Not the Only Threat for Severe Coronavirus Ailment Mashviral News Mash Viral
Mitigating the effects of the fear and anxiety caused by the novel coronavirus is no mean feat given our situational uncertainties and biological penchants Dr Simon Sherry a clinical psychologist and professor in psychology and neuroscience at Dalhousie 1843 chars,"As the novel coronavirus makes it’s way around the world, the isolation, fear and anxiety can take a toll on your mental health.",Minding your mental health Ways to cope during the COVID19 outbreak
A healthcare worker prepares for the opening of the COVID19 Assessment Centre in Ottawa during a media tour on March 13 2020 THE CANADIAN PRESSJustin Tang COVID19 is an emerging risk for which the consequences are still unknown That the virus could 6937 chars,"As response to COVID-19 moves from a learning phase to an operational phase, lessons from the 2009 H1N1 pandemic can inform Canada's action plan.",Coronavirus Canadas response hits a turning point
Nova Scotia is granting temporary release to some inmates during the COVID19 pandemic to mitigate the viruss spread within jailsThe province announced Wednesday it would grant temporary absences with no fixed end date to 41 people serving intermittent 1241 chars,Nova Scotia is releasing 41 people serving intermittent sentences in provincial jails in an effort to mitigate the spread of COVID-19.,Nova Scotia to grant temporary release to some inmates amid COVID19 pandemic
African Canadian communities in Nova Scotia use community green spaces like parks parking lots and other open spaces to gather celebrate and strengthen community ties Shutterstock In February a Nova Scotia MP introduced legislation aimed at tackling env 6533 chars,"Nova Scotia's African Canadian communities have grappled with racism for decades. By looking at community green spaces, we can see how they serve the community's unique needs.",Why Nova Scotia has to take environmental racism seriously
Food security experts are warning the global pandemic could lead to supply shortages higher prices and a growing nutrition gap between rich and poorElaine Power a food security expert at Queens University said the coronavirus pandemic is exposing crit 5446 chars,"Food security experts are warning the global pandemic could lead to supply shortages, higher prices and a growing nutrition gap between rich and poor.",Food security experts warn of supply shortages higher prices due to global pandemic
Recipes for homemade hand sanitizer concoctions have been multiplying onlinebut experts are warning that many of the DIY solutions are ineffective even harmfulYou dont want anyone making up their homemade hand sanitizers that might have a component that 5397 chars,Recipes for homemade hand sanitizer concoctions have been multiplying online but experts are warning that many of the DIY solutions are ineffective — even harmful.,Experts alarmed as recipes for homemade hand sanitizer proliferate online
OTTAWAThe Carleton Ravens are once again the Canadian university mens basketball championsThe No 1 Ravens defeated the No 2 Dalhousie Tigers 7465 in Ottawa on Sunday night to win their second straight U Sports mens national titleCarleton has won n 1319 chars,The No. 1 Ravens defeated the No. 2 Dalhousie Tigers 74-65 in Ottawa on Sunday night to win their second straight U Sports men’s national title.,Carleton repeats as U Sports mens basketball champions with win over Dalhousie
In the early 1990s some forgotten soul on the internet coined the term meatspace to refer to the offline area that most of us think of as the real world The term has always been only half a joke Its funny to think about the real world as secondary to cyber 10840 chars,"In the early 1990s, some forgotten soul on the internet coined the term “ meatspace ” to refer to the offline area that most of us think of as “the real world.” The term has always been only half a joke: It’s funny to think about the real world as secondary t…",Shul in the Time of Coronavirus
Skip to commentsEllen Page Says Trump Questioning Climate Change Is Destroying the Worldgoron alertBreitbartcom 3302020 Ben KewPosted on 03312020 92936 AM PDT by rktmanActress Ellen Page said President Donald Trump and Canadian Prime 6260 chars,"Actress Ellen Page said President Donald Trump and Canadian Prime Minister Justin Trudeau are guilty of environmental racism. She accused Trump of destroying the world with his climate change policy. Page, who makes her directorial debut with the Netflix d…",Ellen Page Says Trump Questioning Climate Change Is Destroying the Worldgoron alert
Medical students in Saint John have started a program to pair themselves with healthcare workers who could use some help with personal tasks during the COVID19 responseStudents who want to volunteer fill out a form indicating what kind of help they can 2470 chars,Medical students in Saint John have started a program to pair themselves with health-care workers who could use some help with personal tasks during the COVID-19 response.,Saint John med students offer to pair with hospital workers to provide personal support
Younger Canadians represent one in three of all reported COVID19 cases and experts say they could be unknowingly accelerating the spread of the virus in Canada and around the worldOf the 4186 COVID19 cases for which the Public Health Agency of Canada h 6942 chars,"Younger Canadians represent one in three of all reported COVID-19 cases, and experts say they could be unknowingly accelerating the spread of the coronavirus in Canada and around the world.",Everybody is susceptible Why younger Canadians may be helping fuel the spread of COVID19
Marine life thats been ravaged by years of fishing activity nuclear tests and chemical pollution could see a substantial recovery by 2050 if world governments invest billions a year in restoration according to a study released WednesdayThe paper wasp 3211 chars,"Marine life ravaged by years of fishing activity, nuclear tests and chemical pollution could see a ""substantial recovery"" by 2050 if world governments invest billions a year in restoration, according to a study released Wednesday.",The worlds oceans could recover from human threat by 2050 says new study
